commits_count,username_hash,lab
8,41ad9a932b975d878a2b0051ccbc57a4,lab4
1,0756218966a3de7f262f33b4941be978,lab5
17,098fd96114780decb15d7811ba0c0afc,project2
4,3aaf12b4b35463e704c704b27fb263b2,lab4
8,21e5b341f752510c45799efe6b431dc2,project2
11,40cc8a672b96683f48afed7f1eed0c50,lab4
5,60a9b2f1b9523c710291cc35b8546c2a,lab4
9,fe8252ab8c3384290afd55fc3758afcc,lab4
4,13b0413742b61436fd25a6e0363d92c9,lab4
3,f69116ec893ab7c815c63a596ff253aa,lab4
2,731012f1a69b2bb588940cbb6c0a04d9,lab4
5,68a3333e98bc3d8a634fc30a7fa57a29,lab4
7,d169a3523365e3ce8c2697ec4a4824b0,lab4
5,133a7cd336509efa39908eecea0f3bb4,lab4
26,fda0716eb19fea3cc5a67eb3122d4f66,project2
2,9b5ce16915a6a7c5b0c7246a356f6dc6,lab4
29,950ca423ded4c01cfb2e75de2b9629a9,project2
4,ca25c693fdfcfe7eaf2d8a3ccda3713e,lab4
4,14792f6c5c7b9d673dd6b5d9636321f0,lab4
9,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab4
3,abef6db0cdffdf4cf5583cc9173589b8,lab4
10,24293e260aaec3659c4605941a804222,lab4
12,4ef236dee38cdaadd228ae93679c7860,project2
3,0fca04105c00aa26700609f7281519b3,lab4
16,b953e46717ad1bf377bd9cffc0240444,project2
20,085d57fe815c1eb67f36507f83441316,lab4
8,305377baedb159d55e5501de4e8e5165,lab4
6,ae8e7d9c79a141b9266c01d768e1f980,lab4
16,14e5581df129337cfc974f82631290e8,lab4
3,2326907be6a98bf7f28b8416768d419c,lab4
7,c19b44e53e9d368cfcb1ad1fb36fba99,project2
2,a28b86552d3a67e4978471b9726a8506,lab4
12,39ace31e9c8fb5533fd83a34ddf58c7e,lab4
4,d59c9118f7e2082998ec81c875d97dcb,lab4
5,48324a3e37553bb47c01729e0a0631cf,lab4
5,b79d4b625d2e5bdd78ad57cf255c16af,lab4
7,6e6273f995dc4bd679aa32624059cc6e,lab4
4,337e8932134f8a39ad98b145040da767,lab4
6,b45cdb68067593cc59140d180a497409,lab4
12,d539de47e94896b673c7e8b738006283,project2
20,a6147af9b1073c2a655bd23a9d0c1249,project2
8,22232d71f96a943769354d26419e8ec2,project2
12,1316c4e551645bdaba10ff15e681201b,project2
3,f47636673b14c54021a69dc06f6a19fb,project2
7,59cc80cfc2a91f8a0ecc1968a0acb6ca,project2
15,4c771b0d357a6f59f390d2f441984ca4,project2
